sample_count,real_count,fake_count,predicted_fake_count,accuracy,precision,recall,specificity,f1,auc,threshold,tn,fp,fn,tp,distance_to_0_5
100,50,50,50,0.8,0.8,0.8,0.8,0.8,0.838,0.46299999999999963,40,10,10,40,0.037000000000000366
100,50,50,48,0.8,0.8125,0.78,0.82,0.7959183673469388,0.838,0.46499999999999964,41,9,11,39,0.035000000000000364
100,50,50,48,0.8,0.8125,0.78,0.82,0.7959183673469388,0.838,0.46399999999999963,41,9,11,39,0.036000000000000365
100,50,50,52,0.78,0.7692307692307693,0.8,0.76,0.7843137254901961,0.838,0.46199999999999963,38,12,10,40,0.03800000000000037
100,50,50,45,0.79,0.8222222222222222,0.74,0.84,0.7789473684210526,0.838,0.46799999999999964,42,8,13,37,0.03200000000000036
100,50,50,53,0.77,0.7547169811320755,0.8,0.74,0.7766990291262136,0.838,0.46099999999999963,37,13,10,40,0.03900000000000037
100,50,50,43,0.79,0.8372093023255814,0.72,0.86,0.7741935483870968,0.838,0.46899999999999964,43,7,14,36,0.03100000000000036
100,50,50,46,0.78,0.8043478260869565,0.74,0.82,0.7708333333333334,0.838,0.46699999999999964,41,9,13,37,0.03300000000000036
100,50,50,46,0.78,0.8043478260869565,0.74,0.82,0.7708333333333334,0.838,0.46599999999999964,41,9,13,37,0.03400000000000036
100,50,50,41,0.79,0.8536585365853658,0.7,0.88,0.7692307692307693,0.838,0.47099999999999964,44,6,15,35,0.02900000000000036
100,50,50,54,0.76,0.7407407407407407,0.8,0.72,0.7692307692307693,0.838,0.45999999999999963,36,14,10,40,0.04000000000000037
100,50,50,67,0.73,0.6716417910447762,0.9,0.56,0.7692307692307693,0.838,0.4509999999999996,28,22,5,45,0.04900000000000038
100,50,50,68,0.72,0.6617647058823529,0.9,0.54,0.7627118644067796,0.838,0.4499999999999996,27,23,5,45,0.05000000000000038
100,50,50,42,0.78,0.8333333333333334,0.7,0.86,0.7608695652173914,0.838,0.46999999999999964,43,7,15,35,0.03000000000000036
100,50,50,61,0.73,0.6885245901639344,0.84,0.62,0.7567567567567568,0.838,0.4539999999999996,31,19,8,42,0.046000000000000374
100,50,50,56,0.74,0.7142857142857143,0.8,0.68,0.7547169811320755,0.838,0.45899999999999963,34,16,10,40,0.04100000000000037
100,50,50,56,0.74,0.7142857142857143,0.8,0.68,0.7547169811320755,0.838,0.45799999999999963,34,16,10,40,0.04200000000000037
100,50,50,64,0.72,0.671875,0.86,0.58,0.7543859649122807,0.838,0.4529999999999996,29,21,7,43,0.047000000000000375
100,50,50,70,0.7,0.6428571428571429,0.9,0.5,0.75,0.838,0.4489999999999996,25,25,5,45,0.05100000000000038
100,50,50,65,0.71,0.6615384615384615,0.86,0.56,0.7478260869565218,0.838,0.4519999999999996,28,22,7,43,0.048000000000000376
100,50,50,57,0.73,0.7017543859649122,0.8,0.66,0.7476635514018691,0.838,0.45699999999999963,33,17,10,40,0.04300000000000037
100,50,50,58,0.72,0.6896551724137931,0.8,0.64,0.7407407407407407,0.838,0.45599999999999963,32,18,10,40,0.04400000000000037
100,50,50,58,0.72,0.6896551724137931,0.8,0.64,0.7407407407407407,0.838,0.4549999999999996,32,18,10,40,0.04500000000000037
100,50,50,37,0.77,0.8648648648648649,0.64,0.9,0.735632183908046,0.838,0.47199999999999964,45,5,18,32,0.028000000000000358
100,50,50,73,0.67,0.6164383561643836,0.9,0.44,0.7317073170731707,0.838,0.4479999999999996,22,28,5,45,0.05200000000000038
100,50,50,73,0.67,0.6164383561643836,0.9,0.44,0.7317073170731707,0.838,0.4469999999999996,22,28,5,45,0.05300000000000038
100,50,50,73,0.67,0.6164383561643836,0.9,0.44,0.7317073170731707,0.838,0.4459999999999996,22,28,5,45,0.05400000000000038
